court	year	value
Krajský súd v Bratislave	2013	10500
Mestský súd Bratislava I	2013	73800
Mestský súd Bratislava II	2013	59700
Mestský súd Bratislava III	2013	70000
Mestský súd Bratislava IV	2013	19500
Mestský súd Bratislava V	2013	3300
Okresný súd Malacky	2013	0
Okresný súd Pezinok	2013	8000
Krajský súd v Trnave	2013	0
Okresný súd Trnava	2013	23400
Okresný súd Dunajská Streda	2013	3500
Okresný súd Galanta	2013	10000
Okresný súd Senica	2013	4000
Okresný súd Piešťany	2013	58200
Okresný súd Skalica	2013	0
Krajský súd v Nitre	2013	0
Okresný súd Nitra	2013	13500
Okresný súd Komárno	2013	1000
Okresný súd Levice	2013	6000
Okresný súd Nové Zámky	2013	87500
Okresný súd Topoľčany	2013	0
Krajský súd v Trenčíne	2013	0
Okresný súd Trenčín	2013	26000
Okresný súd Bánovce nad Bebravou	2013	0
Okresný súd Nové Mesto nad Váhom	2013	9500
Okresný súd Partizánske	2013	0
Okresný súd Považská Bystrica	2013	0
Okresný súd Prievidza	2013	0
Krajský súd v Žiline	2013	0
Okresný súd Žilina	2013	66900
Okresný súd Čadca	2013	68300
Okresný súd Dolný Kubín	2013	0
Okresný súd Liptovský Mikuláš	2013	0
Okresný súd Martin	2013	16000
Okresný súd Námestovo	2013	4000
Okresný súd Ružomberok	2013	0
Krajský súd v Banskej Bystrici	2013	0
Okresný súd Banská Bystrica	2013	1000
Okresný súd Brezno	2013	0
Okresný súd Lučenec	2013	0
Okresný súd Revúca	2013	0
Okresný súd Rimavská Sobota	2013	3000
Okresný súd Veľký Krtíš	2013	0
Okresný súd Zvolen	2013	4500
Okresný súd Žiar nad  Hronom	2013	0
Krajský súd v Prešove	2013	2000
Okresný súd Prešov	2013	9500
Okresný súd Bardejov	2013	18500
Okresný súd Humenné	2013	0
Okresný súd Kežmarok	2013	1000
Okresný súd Poprad	2013	2000
Okresný súd Stará Ľubovňa	2013	0
Okresný súd Svidník	2013	300
Okresný súd Vranov nad Topľou	2013	0
Krajský súd v Košiciach	2013	11500
Okresný súd Košice I	2013	25500
Okresný súd Košice II	2013	40000
Okresný súd Košice - okolie	2013	32800
Okresný súd Michalovce	2013	2000
Okresný súd Rožňava	2013	2000
Okresný súd Spišská Nová Ves	2013	0
Okresný súd Trebišov	2013	0
